,Stopwords
0,ثَبَرتتِي
1,ثبهر
2,اعليٰ
3,ٿيڻ
4,تتب
5,خگهين
6,دلچسپي
7,آهن
8,پورو
9,لتڻ
10,آدهي
11,خجڪو
12,پري
13,هسيذ
14,ڪوًطب
15,کوليو
16,پويون
17,هسطوش
18,ثبلترت
19,اضطراب
20,خوًهي
21,قجل
22,فقير
23,آيو
24,ٌڪبلٌب
25,هسترم
26,ڪر
27,طرف
28,ثٌبًب
29,ضوچ
30,رکتبون
31,چوي
32,ڪوى
33,دورِي
34,ضبرا
35,اوًچبائي
36,ڪبم
37,ڏيو
38,ثَدَ
39,وخواى
40,درخبت
41,درخه
42,ها
43,ڏو
44,پاسي
45,ثٌبرہے
46,هاڻي
47,هي
48,ضوچي
49,خطرناڪ
50,اعزتعوبلات
51,ضرورت
52,تعذاد
53,تهب
54,هجي
55,زصه
56,سسير
57,ريري
58,ڏسڻٌب
59,ضبدٍ
60,ته
61,ٽي
62,صحت
63,کان
64,ڊھوًڊليب
65,ڪوٽي
66,هسترهه
67,في
68,هاڪول
69,غصو
70,دتب
71,خگہ
72,اڪيلو
73,اھو
74,طريقا
75,گابي
76,غمگين
77,خواجي
78,ڏاڪڻ
79,اڪثر
80,لوڻ
81,لیںن
82,ڇو
83,ضبل
84,ثٌذ
85,ڏسو
86,ضِڪ
87,ثٌذڪرو
88,اڪاڻ ته
89,ضبلون
90,ارڪبى
91,ضبرے
92,اهو
93,ظبهر
94,گُٽي
95,ضوچو
96,ڪوًاٽي
97,لوسا
98,گول
99,ههرثبى
100,ًه
101,سوال
102,ڳوليو
103,غبيذ
104,پبش
105,ئي
106,جيئن
107,هٽيئيل
108,ضلطه
109,ڪيٽي
110,ماڻهو
111,خبهوظ
112,لوسبت
113,ثھرا
114,چڪر
115,ثٌذڪرًب
116,ڪٽي
117,ايطا
118,ٿب
119,جي
120,هئًب
121,گڏجي
122,هوتب
123,تت
124,دکبتب
125,لوجي
126,ٿا
